,0
260,"вчера даже специально загадали на катке, через сколько минут к тебе"
261,"друг другу о детстве, о катке на Патриарших, о футболе во"
262,"Такое впечатление, что по нему каток прошелся."
263,"стали строить горку, а залили каток."
264,"Горка — это по-русски, а каток — как-то по-голландски."
265,"картине, что висела в раздевалке катка."
266,"видел себя, худенького мальчишку, на катке меж заснеженных деревьев."
267,"первый снег, дорога сделалась ледяным катком, так что загреметь в канаву"
268,"склоны и дороги превращаются в каток, трудно выдвинуть моторизированное соединение, этим"
269,на первой встрече зимой на катке.
270,"В общем, каток ему не противен, он туда"
271,с ребенком проводить время на катке — это замечательно.
272,Уже могу круг сделать по катку.
273,"него ступор-подождите годик, никуда каток не денется."
274,"Сегодня на катке малыша видела 2.8, но"
275,"подвернула ногу на гладком, как каток, полу нижнего гитисовского холла, но"
276,"что, друзья мои — все на катки, футбольные площадки и крытые вещевые"
277,"русской городской школе, ходила на каток, каталась на коньках."
278,не повезло — он попал под каток…
279,"даже названье всемирно известного
высокогорного катка
распалось нынче тоже."
280,"в ушанке, посыпавший крупной солью каток у самого входа в клинику."
281,"и концерты рок-групп, и рождественский каток."
282,"за Уральскими горами, там два катка, и цирк построен — одновременно с"
283,здесь заливают лучший в городе каток.
284,"пор, пока не начали строить катки с искусственным льдом,  «Бишлет» считался"
285,"центре города, напротив стортинга, заливают каток."
286,"газете» днями вышла моя статья «Катком по извилинам», и сразу я"
287,Катком по извилинам
288,"словно по извилинам населения прошлись катком, чтобы впечатать в восковую мягкость"
289,"НА КАТОК, ТАК НА КАТОК"
290,"НА КАТОК, ТАК НА КАТОК"
291,поверхность дорожного полотна в сплошной каток.
292,"на железных листах, на деревянных катках, на самодельных санях, впрягаясь по"
293,"степень уплотнения после каждого прохода катка, варьировать режимом укатки в зависимости"
294,"зал аэробики, детская игровая комната, каток, автомойка."
295,а кто цепами или каменными катками — получат льносемя.
296,"тебя могут не слабее, чем катком-асфальтоукладчиком."
297,детскими игровыми площадками и зимним катком.
298,"то вдруг бассейн превращался в каток, по которому скользили на коньках"
299,Лезть на асфальтовых «катках» в глину явно не признак
300,"кто будет сидеть за рычагами катка, и тех, кто окажется под"
301,"приняла сгруппированный характер, и таким катком можно укатать любого»."
302,"Мы скользили, будто на катке, в огромных войлочных тапках, надетых"
303,"за Мишкой, паркет скользкий, как каток."
304,обсуждает с подругой драку на катке — предмет разговоров всей гимназии: из-за
305,"оказалась в то время на катке и все видела, рассказывала, что"
306,"гимназии прокатился со мной на катке, они устраивают ему темную — избивают"
307,Ходили с Женей на каток.
308,Сегодня на катке я устала и села прямо
309,"курсы английского, по выходным на каток или на лыжах, орегалярно хожу"
310,"позе чувствую себя, как под катком… остаются боковые варианты — а он"
311,"бульдозеры, скреперы, асфальтоукладчики экскаваторы и катки, оборудованные системами управления, позволяют выполнять"
312,"ножа, скрепера, ковша экскаватора или катка, микропроцессорного блока управления; гидроприводов и"
313,с каждого борта семь опорных катков вместо обычных шести).
314,"представить их бездумными винтиками военного катка, якобы подминающего ростки демократии."
315,и колхозами экономический механизм асфальтным катком прокатился по полям хозяйств практически
316,оборудован первый в городе крытый каток с искусственным льдом.
317,"могилы срыты, места их заровнены катками."
318,С разбитых катков слетает гусеница.
319,"Также для восстановления можно использовать «каток», то есть прокат на спине"
320,"соображения материализуются в натуральный «асфальтовый каток», против которого никакому архитектору не"
321,плуг-каток (автор Ф.П. Белан) впереди
322,"Белан) впереди отвала корпуса имел каток, позволявший преодолевать встречающиеся препятствия;"
323,макушки до лодыжек включительно прошлись катком.
324,На каток венского общества любителей фигурного катания
325,Он ставил катки — три круглых бревнышка.
326,"Когда задний каток освобождался, он его переносил и"
327,Поставил брус на катки.
328,покрытия требуется 2 — 3 прохода катка вместо 10 при использовании обычного
329,"танка сорвало гусеницу и покорежило каток, а водитель набил себе шишку."
330,балки с многочисленными звеньями и катками.
331,"сняли со старого трактора направляющие катки, вот и штанга готова."
332,"века «прокатилось» по отрасли, словно каток по горячему асфальту."
333,"шесть опорных и два поддерживающих катка, механизм натяжения и сдавания и"
334,Катки и натяжные колеса имеют взаимозаменяемые
335,при помощи болтов шесть опорных катков.
336,Опорные и поддерживающие катки заправлены смазкой на весь срок
337,девичьих чувств был раздавлен асфальтовым катком Зяминой игры в слова.
338,Каток «Динамо».
339,"Каток пуст, на нем только три"
340,блестящей скорости по большому кругу катка.
341,Борис Петрович посредине катка на фигурных коньках крутит пируэты
342,Москва превращается в один сплошной каток.
343,"потепления тротуары города превратились в каток, а неубранные сугробы — в покрывшиеся"
344,Ходила на каток.
345,часто вступался за попавших под каток репрессий?
346,"жизни тех, по кому проехались катком наркотики."
347,офицеры-дворяне попали под тяжкий каток выравнивания социальной поверхности русского общества
348,"А пока идем вдоль катка, он без конца говорит, что"
349,И на катке их тусовалось прилично.
350,"бесшумный и отвесный
Запорошит исчерченный каток."
351,"В огромном, отполированном, будто каток, холле было, как всегда, многолюдно"
352,"чувствуя, что лицо начинает напоминать каток."
353,"уж после того как прошел каток советской власти, когда в семьях"
354,"На небольшом катке бегают на коньках дети, на"
355,"в рядах счастливчиков, попавших под каток пенсионной реформы, оказались 50-летние мужчины"
356,и закончилась под вопль раздавленных катком истории экзистенциалистов.
357,ее ежедневной беготне от асфальтового катка наслышаны в Петербурге даже дети.
358,"на собрание, а я — на каток."
359,"года, Яковлев раздавил его, как каток лягушку."
360,прошла по его предкам железным катком.
361,"и для профессионала-то опасный, каток, а что уж говорить о"
362,писатель познакомился в Киеве на катке.
363,Общественные стадионы и крытые катки открыты для любителей тоже до
364,"менее большой город имеет крытый каток, который часто становится местом встреч"
365,Самый популярный каток в Америке находится в Нью-Йорке
366,"Свой круглосуточный каток, наблюдения за белым медведем, тундры"
367,"в год выборов, когда кремлевский каток проутюжил все телевидение, заасфальтировал самые"
368,"двигателей лилась морозная песня гусениц, катков и ленивцев, острая и сухая"
369,Встал на коньки — служитель катка по собственному почину вынес кресло
370,В Гриндельвальде тренируетесь на общественном катке?
371,тренируемся в Лейк-Плэсиде на одном катке.
372,"появление на льду скромного тренировочного катка публика встретила овацией, которая не"
373,рублю на строительство этого самого катка.
374,"Затем, уже на катке, как следует разогреваемся."
375,Алешка убежал с приятелями на каток.
376,техника для укладки асфальтобетонных смесей: катки и асфальтоукладчики шведской фирмы «Дупарак
377,"Длинная, солнечная зима, каток, тройки, друзья, мечты о счастье"
378,"тех, кто попал под их каток, получили уже срока."
379,Ржаное поле укатывалось катками (июль 41-го).
380,"с жерновами, сделанными из двух катков."
381,Начало 1936 года прошлось сокрушительным катком по художественной культуре.
382,из крупнейших алмазоносных трубок мира — Катока.
383,молодости мы решили пойти на каток.
384,и она попала под сталинский каток.
385,"когда будешь приходить вечером с катка, усталый — будет аппетит, будешь хорошо"
386,Купил для этого каток.
387,"старинную музыку и пробирались вдоль катка, по колено заполненного разноцветными шариками."
388,"портняжки, восставшего против «государственного асфальтового катка»."
389,"комплексы, а на улице Профсоюзной — каток."
390,А можно отправиться на каток — когда вы в последний раз
391,"Каток, где обучался Плющенко, переделали то"
392,"сути, кульбиты нескладного героя на катке — не что иное как лирически"
393,"На каток явился гусь:  «Не мешайте, я"
394,которая к утру превратилась в каток.
395,"Москве: гусеничные башмаки, гусеничные цепи, катки, натяжные колеса, коронки, протекторы, адаптеры"
396,опорных катков;
397,поддерживающих катков;
398,"основные крепежные изделия, шарниры и катки."
399,"STA-Stawostroy и IR ABG (катки для уплотнения дорожного полотна, асфальта"
400,"огромный фруктовый сад, теннисный корт, каток, турецкие бани и три маленьких"
401,"это и ледяные горки, и каток на Сунгари."
402,"пушинкой, 
 когда мы повстречались на катке."
403,Мы бежали вдвоем на каток
