,0
96,"Домой вернулся ежиком — весь в иглах, попробуй подойди."
97,"слой давно облетевших и побуревших игл, — если случайно заберешься вглубь, наверняка"
98,"Современный скоростной экспресс, иглой прокалывающий мегарасстояния, располагал к деловым"
99,"берегу возле свежезастывшей, покрытой колючими иглами наледи."
100,"зверь, как, шумно нюхая покрытую иглами инея ровную наледь, олени один"
101,"обоймы виниловую пластинку, сам ставил иглу, и пожалте — любая вам музыка."
102,берет в руки шприц без иглы — набирает в него какой-то желтой
103,"ландшафтами, с еще желтыми необлетевшими иглами лиственниц, зеленеющими кустами кедрового стланика"
104,"лекалам шкуры, как ловко орудовала иглой с вдетой в нее оленьей"
105,"Понизу щетинится иглами густой ежевичник, на ветвях — лохмотья"
106,"Ветер ударил в грудь, ледяные иглы оцарапали лоб."
107,"вихри вперемешку с мелкими ледяными иглами, — оттого в комнате всегда было"
108,"И горы правобережья, ощетинившиеся иглами заснеженных деревьев."
109,как воткнутая в живот ледяная игла.
110,"ничего — ни ударов, ни уколов иглой или шилом."
111,"черные лохмы волос, похожие на иглы диковинного ежа."
112,Меж игл посверкивали черные же глаза — узкие
113,"лице; где-то там, за этими иглами, скрывался и большой рот, и"
114,ящичного бока шишковатый носик с иглой на конце.
115,"пяльцы квадратной или прямоугольной формы, игла, напёрсток."
116,"Вначале игла с верхней ниткой, прокалывая ткань"
117,"под движущейся вверх и вниз иглой, приводимой в движение приводом."
118,знать: назначение механизмов; правила установки игл и регулировки натяжения нитки; на
119,"имеет 9, 12, или 15 игл (цветов)."
120,"каждой из них установлены отдельные: игла, нить и механизм натяжения."
121,Вместо иглы в руке он держит правую
122,Вместо проколов иглы он ставит точки проколов иглы
123,иглы он ставит точки проколов иглы и между ними протяжек нити.
124,"Последовательность ударов иглы, точность их попадания в контуры"
125,"даже слегка торчали, как мягкие иглы, — наверно, по привычке он частенько"
126,"бивня, два кремневых ножа, костяная игла, другая под подбородком мальчика — для"
127,"черных шалей, еще белел присыпанный иглами каменный снежок."
128,"Когда подошли, оказалось, что мелконькие иглы с веток практически полностью осыпались."
129,"Анфилогова хлопотал напрасно: байдарки, будто иглы взлохмаченный шов, прошли перекат, весло"
130,"вбок неровными пьяными шагами, с иглой, дрожавшей в сердце, будто стрелка"
131,"зайце утка, а в утке игла."
132,"увидел странно узкий, словно с иглой внутри, мужской силуэт."
133,"он истончился и исчез, словно игла, вошедшая под кожу, словно весь"
134,"все это бывает оснащено длинными иглами, палочками, мечевидными выростами, решетками, перемычками"
135,"всего карбонат кальция (раковины моллюсков, иглы и чашечки коралловых полипов, спикулы"
136,"крючок, а для пошива одежды — иглы с ушком."
137,"Это их роковая проблема, Кощеева игла."
138,"тобой — 
 пуховая подушка крыш
истыканная иглами церквей
и минаретов."
139,"щелчка, с поскрипывания и шипения иглы, протертой трепетно, допустим, одеколоном «Весна"
140,не думает соскакивать с этой иглы.
141,"вот-вот там будет сломана Игла Кощея, настанет конец света, и"
142,реальный аналог катастрофы сказочной — сломанной Иглы; так получился этот интернет-апокалипсис
143,"переливающаяся; но в романе нет иглы, которая оставляет на сердце татуировку."
144,вложенной в послание отравленной золотой иглой.
145,"будто нитями, посредством большой металлической иглы сшиваются вместе части небольших деревянных"
146,к одежде осуществляется с помощью иглы с зажимом.
147,к одежде осуществляется при помощи иглы с зажимом.
148,"из кабинета, и вид блестящей иглы в ее сжатых щепотью пальцах"
149,"непрерывно сыпавшейся с него, как иглы с засыхающей елки."
150,печальный узбек Акрамов после черканий иглой по его недвижным ногам сидел
151,затылок и с маху поддевая иглой.
152,"хихикали в процедурной, ожидая её иглы."
153,"что, уважаемая, подденешь меня своей иглой, как безбилетника в автобусе?"
154,ли не с размаху вогнал иглу в верх ягодицы.
155,"Игла с крышечкой, предохраняющей от случайного"
156,"полированном, каменном взгляде, в черной игле вертикального зрачка."
157,"и тот, как раз поймавший иглой нитяную Ирочкину венку и приладивший"
158,"не осязал ни нанесенной тоненькой иглой многозначительной перфорации, ни деликатно подточенных"
159,"пластинка на диске, крупный план иглы, под которой кружится бесконечно струящаяся"
160,"Теплолюбивые морские иглы, лисички, петухи обитают у южных"
161,"Иглу вытащили рейсфедером, нашедшимся в Катином"
162,от ее усердия у старой иглы отламывается ушко.
163,"Комарова выбрасывает иглу в окно, долго копается в"
164,возгласом достает из коробки новую иглу.
165,"закусывает губу, с размаху загоняет иглу под ноготь и заливается слезами."
166,"морозом на множество острых, как иглы, сверкающих серебряных минут, покрытая инеем"
167,Можно поставить здание на кончик иглы.
168,"осыпали на песок
сосен сдвоенные иглы!"
169,"Все женские слезы, как острые иглы, / вонзаются в икры…"
170,черные дыры стволов под сверкающими иглами штыков.
171,"беличьи шкурки, мелко дрожащие сосновые иглы, зигзаги еловых ветвей в брызгах"
172,"и ровной, как молодая сосна, иглой с парусным корабликом на острие"
173,"извивается на стремянке, как проткнутый иглой мотылек."
174,"бисера дождя, растопырят свои терпкие иглы, и горделиво вознесётся за бархатной"
175,"пластырь с руки отлепился, и игла выскользнула из вены, и трубка"
176,"допил молоко допыхтел свои
тысячи игл в пол
 (…) 
 II
 Шуршат крылатые муравьи."
177,"Новорожденных убивали штопальными иглами, топили в уборных и просто"
178,"ворох бумаги, карандаш, заточенный как игла, и механизм стародавних советских часов"
179,"дул злобный ветер, и колючие иглы жёсткой позёмки вонзались в их"
180,"или в Питер, 
 перешитый цыганской иглой."
181,"мне наркомана, и термин «нефтяная игла» по отношению к нам крайне"
182,"Когда вынул иглу, стекла на матрас и заснула."
183,Игла» с Цоем.
184,"она прошла и панель, и иглу."
185,"без нежностей, а сердце как игла""."
186,"условиях можно слезать с «нефтяной иглы», если и банкиры, и производители"
187,"вообще возиться с мерзкой кусачей иглой и нудной ниткой, вечно выпадающей"
188,"солнечный луч высекал снопы радужных игл), — так вот, между тем утром"
189,"торчали вкривь и вкось, как иглы в портновской подушечке."
190,От колющей иглами жары ненадолго спас прохладный душ
191,им в карманы острые дикобразьи иглы.
192,"пряхи, прялки, прядение, кудели, веретена, иглы, то, как говорится, — жди беды."
193,"своей бледноватой зелени длинными сухими иглами наподобие дикобразов, которые здесь, кстати"
194,"слишком бесцеремонным, довольно метко стреляют иглами."
195,"на одном из жизненных перегонов иглу мне и вышел наружу, неприметный"
196,"Вертимся на острие иглы, как компасная стрелка, тянемся к"
197,"оленьего рога с семью вложенными иглами из клыка моржа диаметром 1,5"
198,ссадить Россию с пресловутой нефтяной иглы.
199,"прошить шприцами наркоманов с зараженными иглами и выбросить на помойку, как"
200,За нефтяную иглу придется побороться
201,"петельками, через которые продета золотая игла."
202,"она распечатывала разовый шприц, острую иглу и, нашпиговав пухлые ягодицы железом"
203,"Младенцев убивали штопальными иглами, топили в уборных и просто"
204,или мягкого ковра из опавших игл головка гриба.
205,"Он рассказывал, как дырявить соски иглой, как заваривать ромашку, как купать"
206,"пряхи, прялки, прядение, кудели, веретена, иглы, то, как говорит-ся, — жди"
207,"сюжетных версий его смерть — в игле (игла в яйце, яйцо в"
208,"версий его смерть — в игле (игла в яйце, яйцо в утке"
209,"иголку и нитку выявляют связь иглы с идеей движения, контакта с"
210,"смерть (мне показали длинную золотую иглу, а потом кивнули на моего"
211,"крылья, когтистые хвосты, многозубые челюсти, иглы, жала…"
212,"они превращались в оскорбительно жалящие иглы, напоминающие, что такой контент ему"
213,из служителей появилась большая кривая игла с золотой нитью — и он
214,"нее под ногами, вспухая радужными иглами меж бортами лодок и катеров"
215,"руку ему довольно топорно всадили иглу, и молодой голос шепотом отметил"
216,"полностью сойти с российской энергетической иглы, Европе потребуется газ Катара, Австралии"
217,шерсти происходит при помощи специальных игл с насечками.
218,С иглами для валяния работают и вручную
219,"просвечивались лучами сканеров и пронзались иглами датчиков, после чего консервировались введением"
220,Иглы электродов сорвались с потолка и
221,И тут его словно иглой прошило — от макушки и до
222,Иглы нацелились прямо в Пашку с
223,"гудели «пальцы», покачивая тремя страшными иглами над головами пленников."
224,"татуирования, где детально видно, как иглы вонзаются в кожу, из которой"
225,"той рукой, в которую воткнута игла, невозможно, а другая у бедняги"
226,"Выдергивала иглу, шлепала ватку со спиртом и"
227,их были проткнуты длинными черными иглами.
228,"глаза как инквизитор, резко проводил иглой от плеча до запястья."
229,стала тонкой и что появилась игла.
230,"в тонких пленках (от укола иглы!), погруженных без оболочки в ванну"
231,Если удар «запальной иглы» по образцу с легкостью «зажигал
232,сканирует поверхность при помощи острой иглы на гибком подвесе-кантилевере) поверхность
233,"созданные Вивье типы каблуков: шпилька, игла, улитка, шок, полишинель, запятая, давшая"
234,"вдвоем и покатили, шурша еловыми иглами."
235,кишащая морскими коньками и рыбами-иглами вода в заливе.
236,"смерти — это как соскочить с иглы»), и Данилкин с Прохановым…"
237,"под тяжестью снега пригнулись, тычут иглами в лицо, обваливают на голову"
238,Вот так поставите иглу…
239,"с маникюрными принадлежностями, справа — с иглами, ножницами, наперстком."
240,в руки четыре сорок четыре иглы…
241,это настолько же возносит мастерицу иглы и ножниц до высокородной знати
242,"мир, а могут только кончик иглы — таково свойство континуума."
243,"вместо щек при очередном втыкании иглы шприца в ягодицы, к середине"
244,"потом уходить — он сидит на игле, и хорошая выручка ему важнее"
245,"убирать квартиру при помощи патефонной иглы и зубной щетки, ты, наверное"
246,"а когда что-то визгнуло, будто игла проехалась по пластинке, из динамиков"
247,натянутой между уходящими вверх костяными иглами.
248,"и неважным: чинили одежду костяными иглами, плели какие-то веревки, а один"
249,Позвоночник проколот хирургической иглой.
250,"агата и сердолика, ожерелья, декоративные иглы и даже — драгоценность того времени"
251,большая голова с торчащими волосами-иглами крепко сидела между плечами.
252,"сосновую ветку, покрытую длинными жесткими иглами."
253,"слова, когда его штопали костяной иглой, кричал от неуходящей боли, потом"
254,"Мощные кольцевидные фибулы с иглой, орнаментированные звериными изображениями, использовавшиеся преимущественно"
255,когда тебя и самого пронизала иглами насквозь ужасающая догадка?
256,"еж, важный и пышный, утыканный иглами, точно внутри он был ватный."
257,Игла.
258,"Наверху скрипело — и иглы кололи, и опять подкатывала тошнота."
259,"Наверное, игла здоровенная была…"
260,таких крышечек с наколотыми простой иглой лицами сидевших вместе с ним
261,"Потому что все это — шприцы, иглы, скальпели, щипцы, крючки — точно придумали"
262,"я ведь столько раз прокалывал иглой сердце человека, что чувствовал безо"
263,"чувствуя, как на нужной глубине игла преодолевает слабое сопротивление, а затем"
264,"Значит, игла в полости сердца."
265,"да, впрочем, без разницы, уже игла, разрывая кожу, входит в пятое"
266,"Игла вошла, и я еще подумал"
267,"немножко иным, как будто кончик иглы упруго царапнул какую-то ниточку."
268,"ответила, ответила именно на вкол иглы, я понял это даже без"
269,"Я потянул иглу на себя очень осторожно, очень."
270,"же ты все-таки умудрился своей иглой сегодня попасть, Леха?"
271,"материал состоит из пучка кремниевых игл, помещенных в мягкий гель."
272,расширения геля зависит положение кремниевых игл.
273,Различие составляет расположение игл.
274,"во втором, один из концов иглы закрепляется на подложке."
275,"влажностью воздуха, можно изменять направление игл, заставляя их работать как мышцы"
276,"Мухоловка
  [picture] Схемы расположения игл HAIRS-1."
277,"влажностью воздуха, можно изменять направление игл."
278,Я вытащил тончайшую иглу из своей руки.
279,"чувство, что становишься раскаленной сверхзвуковой иглой, которая продевает сквозь чужие головы"
280,"Пространство было освещено яркими иглами электрического света — крошечными лампами, с"
281,"Мокрые сосны с каплями на иглах, чистый холодный воздух."
282,"что из старого дикобраза, как иглы, торчат во все стороны нерешенные"
283,словаре Н. Борецкого и Б. Иглы для формы rrom четко выделены
284,"определить число ангелов на кончике иглы, но ангелы далеки и бестелесны"
285,Иглой циркуля мы выцарапали на запястьях
286,"техниках литографии, монотипии, ксилографии, сухой иглы, а с недавних пор — и"
287,"в нескольких фильмах («Рок»,  «Асса»,  «Игла» и др.) и стал главным"
288,обещая снять страну с “нефтяной иглы”.
289,"Любовь, давайте через шприц без иглы, а не соску, скорее всего"
290,Тысячи игл впились в оттаивающие пальцы.
291,"шило, гвоздь, булавку или две иглы, крест-накрест воткнутые в одежду против"
292,железной коробочкой со шприцем и иглами.
293,"Игла ткнулась в шею, но как-то"
294,"к отточенности фраз, похожих на иглы для акупунктуры."
295,Фроська взяла огромную цыганскую иглу и — Клара оперлась рукой о
296,"оконное стекло — ткнула Валю этой иглой, вернее, спицей, в шейку, в"
297,основе полупроводникового кристалла и тонкой иглы.
298,ходе совершенствования кристаллического детектора с иглой в конце концов был придуман
299,Путь к игле для многих оказывается скоростным шоссе
300,в составе которой представлены миниатюрные иглы с просверленным ушком.
301,"ваши сидящие, как нарики на игле, программы на грантах…"
302,"Смерть Кощея на конце иглы, та игла в яйце, яйцо"
303,"Кощея на конце иглы, та игла в яйце, яйцо в тамбовской"
304,"что Зурик снял Светку с иглы, заставил учиться, после чего она"
305,"Заезженная пластинка, игла ходит по внутренней дорожке и"
306,"тэкс, молоток, плоскогубцы, кусачки, кривые иглы, гвоздодер — знаю эту канитель как"
307,"говорящий молоток с самонаведением, кривые иглы, чтобы выколоть мне глаза, ятаганы"
308,Игла у шприца согнулас.
309,сколько ангелов помещается на кончике иглы? “.
310,"Игла-то пластинки не коснулась, как"
311,"туман, каменные пустоши, поля ледяных игл, озера огня и черти с"
312,"до локтей, достает коробку тонких игл для акупунктуры и ласково втыкает"
313,Но Исаакий и игла Адмиралтейства сияли неугасимо золотом в
314,"босиком, как нежно покалывают сосновые иглы на той тропинке, с ее"
315,"почти не влажной, в рыжих иглах земле, к открывавшемуся за соснами"
316,"сосны до неба и сосновые иглы повсюду, и пятна солнца на"
317,"повсюду, и пятна солнца на иглах, и четыре шишки, которые он"
318,"ни делал, он, как патефонная игла в заезженную бороздку, попадал на"
319,"пустынных улиц и светла Адмиралтейская игла» — а) бесспорно, масонский гравированный знак"
320,Здесь даже «причащались кровью» — кололи иглой руку какой-то молоденькой еврейке и
321,Три виноградинки прокололи иглой и выдавили темную жидкость в
322,"Когда атомарно острая игла двигается вдоль поверхности образца, между"
323,"двигается вдоль поверхности образца, между иглой и поверхностью начинает проходить постоянный"
324,песчано-грязевыми дождями и выпадением ледяных «игл».
325,Вместе с «иглами» упали и «котлы».
326,проницая незыблемую доселе окружающую реальность иглами сумасшествия.
327,"лицо, справа — наручник-манжетка, слева — игла убойной длины."
328,"нитки, а в конце — из иглы выходит задняя, хвостовая часть."
329,"параллельно, другие напоминали графики, вычерчиваемые иглой осциллографа, третьи образовывали точные перпендикуляры."
330,"они очень похожи на веретёна, иглы, пеналы для них (индейцы мастерили"
331,"по ним туда-сюда, словно иглы в венах у соседского мальчика"
332,"в венах у соседского мальчика, иглы, которые он засаживает себе на"
333,Зачем мне игла?
334,"красавицы — одна совсем как черная игла, другая — азиатка баскетбольной высоты с"
335,В качестве ножниц и игл обычно выступают специальные белки.
336,"которая толчками разливалась по телу, иглой впиваясь в голову."
337,Игла
338,"пор не нашли на альбоме «Игла» песни, которую можно смело ставить"
339,"сколько ангелов поместится на кончике иглы, т. е. каково соотношение нематериальных"
340,"все время нужно…»,  «слезть с иглы» и т. д."
341,"на трудовом солнце жизнерадостно блескучей иглой, которая, надзирателю мнилось, не столько"
342,Звезды светили неистово яркими голубыми иглами.
343,"выстрел и патрон достигает цели, игла наконечника протыкает слои одежды до"
344,"Здесь мудрено искать иглу — 
 Хоть глаз коли иглой."
345,"искать иглу — 
 Хоть глаз коли иглой."
346,"Что эта острая сухая мета
Иглой в сукно судьбы моей продета"
347,"это линия, проведенная тонкой острой иглой по медной доске, покрытой черным"
348,"палеолита: ожерелья из зубов животных, иглы из костей птиц, подвески из"
349,"слое, например, нашли семь костяных игл с просверленным ушком, по виду"
350,найдено всего пять или шесть игл!
351,"камня ведь не сделаешь ни иглу, ни шило, ни рыболовный крючок."
352,сошка почти всегда сидит на игле…
353,"социализации, инфекционного флебита от грязных игл, разорения, риска заболевания СПИДом и"
354,"в частности, миниатюрные 5-сантиметровые каменные иглы с просверленным ушком."
355,на установке с межэлектродной геометрией игла-плоскость методом так называемого электроформования.
356,"звучит тоже шершаво, как будто игла идет по много раз проигранной"
357,"дело, — отмахивается он, и возвращает иглу на пластинку."
358,Ничего… — отмахивается Мамонов и игла едет по пластинке.
359,"это были «Звуки Му», потом «Игла», потом «Остров»."
360,"и показал ей, как ставить иглу на пластинку."
361,А Алла смотрела на иглу — она легонько подпрыгивала и шуршала.
362,"Когда на игле скапливалась пыль, пластинка заедала на"
363,"А Димочка снимал иглу, протирал специальной тряпочкой пластинку, сдувал"
364,"для сбора использованных шприцов и игл, которые стали представлять угрозу для"
365,"в небе слетели тонкие огненные иглы, и, оставляя за собой белый"
366,"В моём море есть рыба-игла, опасная рыба-петух и морской"
367,"сломать «как обычно последнюю» мамину иглу для чего-то там, прошивая капроновой"
368,неравномерной массой на острие невидимой иглы Вселенной.
369,уже — только сжавшийся на острие иглы весь мир…
370,"сидящая на нефтяной и газовой игле, вынуждена занимать двойственную позицию."
371,"Мелькает шприц, он ощущает укус иглы."
372,"Кронштейн или кантилевер заканчивается иглой-зондом, диаметр конца которой имеет"
373,"Может, ты игла, а она пластинка; чем легче"
374,Как красиво написала про иглу и пластинку! ) Чистого звука тебе
375,"Сидя на импортной игле, много не навоюешь."
376,осталось и лонгисты ещё с иглы не слезли.
377,Узкий и упругий в виде иглы лист у некоторых пород деревьев»;
378,"изумленно вскрикнула, попыталась протестовать, но игла уже вошла под кожу, и"
