,0
68,"людей, бывает, мышечные связки рвутся, кости выходят из суставной сумки, и"
69,"мышечную, ревматическую боль, стабилизирует состояние костей."
70,"двух собак, которые ругались из-за кости."
71,"Собаки не растерялись, прижали кость каждая одной лапой и дружно"
72,"одна из собак скакала с костью в зубах, окончательно победив), и"
73,"одна из них не выпуская кости изо рта) побежали вперед, оглядываясь"
74,Одна кожа да кости!
75,"приступили к ужину, заботливо оставив кость рядом для дальнейших переговоров."
76,"они получали хоть какую-то зарплату, кости и огрызки, работая сторожами во"
77,"свой гроб и не греми костями, — прозвучало в ответ по динамику."
78,"бомбы — раскрошило в бедре моем кость, в боку выбило ребро, каменьями"
79,"привычке затевали драки с «белой костью», которая являлась на танцы с"
80,"Гавриловной измученный до ломоты в костях, собрался вздремнуть, пока табун наш"
81,Обширная в кости Наталья Дмитриевна как бы сплющилась
82,"собой Еву, он воскликнул: Это кость от костей моих, это плоть"
83,"он воскликнул: Это кость от костей моих, это плоть от плоти"
84,"То, в чем гниют кости, и мир, в котором мы"
85,"можно было перепутать с небольшой костью вроде ключицы, а костей в"
86,"небольшой костью вроде ключицы, а костей в траве валялось почти столько"
87,"Бесконечно крутили на столе, смешивая, кости домино."
88,один из доминошников и хлопнул костью по столу.
89,"вилку с рукояткой из слоновой кости, наколол на нее яблоко, протянул"
90,"А у меня кость есть, — добавил Почтальон и вытащил"
91,"есть, — добавил Почтальон и вытащил кость из сумки."
92,Вздыхал: «Устают старые кости».
93,"живи один», башня из слоновой кости, трагическая изоляция — удел избранных, потомки"
94,"чеканка по металлу, скульптура из кости и дерева, гобелен и тисненая"
95,"жесткости материалы, например древесину и кость, древесину и металлы и др."
96,"мозаичных наборах — пластинки цветных металлов, кости, рога, панциря черепахи и др"
97,"декоративных элементов из цветных металлов, кости, панциря черепахи, перламутра на музейной"
98,"мелких деталей из тонких дощечек, кости и других материалов, а также"
99,"предметов вставками из других материалов (кости, перламутра, цветных металлов, камней), которые"
100,"показать на примере изделий, инкрустированных костью."
101,восполнения утраченных элементов обычно применяют кость крупного рогатого скота — цевку — в
102,Кость должна быть обезжирена путем выварки
103,"Для получения тонких пластинок кость зажимают в тисках, оборудованных деревянными"
104,внутри этого мешка глухо клацали кости.
105,"особенно Соня — высоконькая, кожа да кости."
106,"толстый, под ним нельзя сломать кость."
107,"в жилы Зыбиных, а татарские кости стали попадаться в их скелетах"
108,индустриальная мясорубка мелет преспокойно даже кости?
109,"руку кислотой, сжегши ее до кости, повторяла: «Ничего страшного, ничего страшного"
110,по моим нервам и моим костям.
111,Там же белели кости загубленных лошадей.
112,чья земля студит ваши белые кости?
113,"Мертвые идеи ложились на кости, кости на идеи."
114,"Мертвые идеи ложились на кости, кости на идеи."
115,самовозгорания от взаимодействия идей и костей.
116,"Вот ребятишки кости старые обнаружили, скелет человеческий."
117,"Собрал я кости в мешок, а следователь ругается."
118,"Кости, конечно, старые, хрупкие, но что"
119,"Чудинихи кости, влезло в голову, которую Подворотов"
120,"была отполированая временем широкая крестьянская кость, видны были остатки грудной клетки"
121,"Конечно, главная мозговая кость манила всегда, но тогда ее"
122,"В его костях еще достаточно органических веществ, еще"
123,"внутрь барабанные перепонки и височные кости, будто я сам себя высосал"
124,"хотя бы вы снова скотские кости откопали, что ли."
125,"Зыбин ему сказал о скотских костях, он вдруг приостановился и спросил:"
126,А история с костями была такая.
127,"Отрыли преогромную ямину, полную костей."
128,"зарыли, что еще делать с костями?"
129,"уехала, составив даже акт, что кости по давности времени опасности не"
130,Вот за костями к тебе приехали.
131,Кости лежали сплошным навалом.
132,Михайлович привез в институт эти кости с просьбой определить и дать
133,Ну а с костями что?
134,"в ржавых пятнах камни, козьи кости, собачий скелет с раскрытой к"
135,Свалишься — костей не соберешь.
136,"такой дороге, а потом и костей своих не соберет."
137,"Мол, тут и дед мой кости сложил, и отец, и я"
138,"стоит забитый и тут яма, кости и памятник»."
139,не превратят в мешок с костьми.
140,"здесь вольготно, солдаты режутся в кости, пьют, жгут костры — ночи-то"
141,"Этак иногда рухал на койку («костьми») Зыбин, а он его ругал"
142,"палатки, до койки и рухнуть костьми."
143,"Селедочные головки, картофельные очистки, кости всякие, любую гнусность!"
144,"Старик оказался широк в кости, высок и крепок."
145,"и, конечно, оставил бы там кости — это была сама социалистическая законность"
146,У него широкая кость.
147,шантажный; ему угрожали: обещали поломать кости или еще того хуже — подстеречь
148,большое голубиное перо — для фиксации кости в правильном положении.
149,"и я содрогаюсь от скрипа костей, от мышьей возни хвоста, от"
150,вы вместо бриллианта находите одни кости.
151,Ведь зуб — это кость!
152,"душегубками, мельницами для размалывания человеческих костей."
153,"Ниной, бедные девочки, продрогли до костей, прямо из пурги, из боя"
154,на рукавах череп и перекрещенные кости.
155,"электрическим проводом, провод остался на костях, по проводу ее и опознали."
156,"сукно десятков игральных столов, катящиеся кости, фишки, веерами разворачивающиеся карты, крутящиеся"
157,"ноздри, еретики — выделения носа, доктора — кости, толкователи Священного писания — зубы, защитники"
158,"Кости его сопричастны твердости камней, ногти"
159,"ослабели, и внутри них, в костях, как будто бегали какие-то мурашки."
160,"других вымочили и выморили до костей, а некоторые задохнулись в этом"
161,земли курительный мундштук из черной кости с медным ободком.
162,будешь на это место рыбьи кости складывать.
163,"Сам вон скоро свои кости сложишь, старый пень!"
164,Пускай рыбьи кости на клеенку складывает.
165,"стороны бамбук, с другой — слоновая кость."
166,Симочка была удивительно легка: кости ли её надуты воздухом; из
167,Так разгоню — костей не соберут! — ответил Абакумов и
168,"ведущих инженеров кормите, а остальных — костями?.."
169,"и соевых бобов, вырезано по кости, выращено из травы, выткано на"
170,"давно уже мешавшее ему, как кость в горле, нашло теперь выход."
171,"горячими глазами и бритым, слоновой кости черепом, крикнул ему:"
172,Пар костей не ломит.
173,"насмешил судомоек, выпросил у повара кость, бросил ее Подхалиму, радостно посмотрел"
174,"зеленым луком, ломая зубами куриные кости и высасывая из них костный"
175,"всегда на лету хватала эти кости, жадно перегрызала их и причмокивала"
176,Когда дядя Сандро разламывал кости во рту и высасывал из
177,"Тетя Катя ела тихо, никаких костей на зубах не разламывала."
178,"даже собаке, хватавшей на лету кости."
179,оставшуюся мамалыгу и вместе с костями от копченого мяса швырнула собаке
180,"мамалыгу, а потом стала перемалывать кости."
181,"Костей было много, но она их"
182,впрок ему шло: кожа да кости!
183,"разглядывали иранские миниатюры на слоновой кости, эмали."
184,"дирижаблей, сыграл с кем-то в кости, мясник пригласил меня на день"
185,"поют, у стойки играют в кости."
186,"сейчас, на рассвете чисто обглоданные кости вывалили в кусты, затоптали костер"
187,Потом собирает кости и забрасывает их в кусты
188,"отвечал я, — лишь бы в кость не попала иголка."
189,"У меня одни кости, — отчаянно шептал он, — обязательно попадут."
190,"дверью, как собака смачно хрустит костями, а хозяйка насмешливо приговаривает:"
191,На наших костях и возникнет коммунизм.
192,как будто выточенные из слоновой кости (пудра).
193,"на голове подбирали в мешочки кости и огрызки хлеба, профессора, улыбаясь"
194,"за десять минут обглодать до костей вола, никогда не нападает на"
195,"о ступеньку, чуть не до кости коленку просадил."
196,прибил жестянку — череп и две кости.
197,"отдыха они вырезали на куске кости одиноких мамонтов, бодающихся бизонов, гигантского"
198,"не вырезали, а высекали из кости и камня так, чтоб их"
199,"на горлышке сосуда, другое на кости и на стене пещеры, не"
200,чисто и точно под слоновую кость.
201,"могилы — горшочек с просом да кости, собачьи и человечьи."
202,"как будто охраняя его, лежат кости собаки."
203,в стеклянный ящик с серыми костями и красным черепком.
204,"покопаетесь вы неделю, раскопаете черепки, кости, пятаки и выставите их в"
205,"К чему эти кости и черепки, а?"
206,"горбатого, материалы — бархат, шелк, слоновую кость и вообще обеспечить всем нужным."
207,"то твой что натворил, он кости чумные раскопал!"
208,Корнилов держал в руках кость.
209,"на траве лежала огромная куча костей — белых, желтых, черных."
210,"срыв холм, землекопы наткнулись на кости."
211,Но вообще кость в раскопках — это вещь.
212,"что же, не такая же кость?"
213,Коровьи кости? — спросил он и приказал кому-то
214,"ботинка по голени, прямо в кость."
215,в милиции и выиграл в кости рэ у Кянукука.
216,и Миша бросили несколько раз кости.
217,"и клочками газеты для селедочных костей, по-мужски, по-солдатски, по-офицерски."
218,"хлеба, обглоданные до голубизны куриные кости, куски побледневшей, окутанной шкурками колбасы."
219,"уж, кажется, все ясно — на костях, на страшных муках, стало быть"
220,и выловленные из баланды рыбьи кости; пестрое мелькание десятков выстиранных платочков
221,"Да и мясо это на костях, тощее."
222,"муравьев, земляных червей копали, стали кости на муку толочь, кожу, подошву"
223,к ним подходят когда они кость грызут.
224,"сам с себя объедает, одни кости остаются, жир до последней капельки."
225,"новую судьбу страны, рожденную на костях погибшего поколения."
226,"остов
Корабля
. 	Очень просто
 — 	Ребра, кости
, 	Нет угля
. 	На норд-осте
Виден"
227,А какие к черту кости?
228,А прямо на пол кости плевать — считается вроде бы неаккуратно.
229,"рыбки мелкой попадались всё больше кости, мясо с костей сварилось, развалилось"
230,"всё больше кости, мясо с костей сварилось, развалилось, только на голове"
231,мороз пронизывал все тело до костей — это народное выражение отнюдь не
232,"Если могли промерзнуть кости, мог промерзнуть и отупеть мозг"
233,"ободранных веток, похожих на обмытые кости, поднялась около костра, а мешок"
234,"что еще оставался на наших костях, что еще давал нам возможность"
235,"тащила щенятам в зубах какую-нибудь кость, которую ей давал повар."
236,ведь ее ели со всеми костями и шкурой.
237,"Остаются кости, и он жует кости осторожно"
238,"Остаются кости, и он жует кости осторожно, бережно жует, и кости"
239,"кости осторожно, бережно жует, и кости тают и исчезают."
240,этот маленький труп — легкий груз костей и кожи.
241,"Греков потянулся так, что кости сладко хрустнули, шумно вздохнул, подумал"
242,какую закуску людям давал — мозговые кости!
243,"ясно, целы ли у них кости, пощупать себя они не могли."
244,из-под скамьи брошенную Штрумом куриную кость и сказала:
245,"а ты, сукин сын, солдатская кость, — помни, ты корпус в прорыв"
246,"из клеточек тела, голод размягчает кости, искривляет рахитичные ножки детей, разжижает"
247,"томились, ныли пальцы, ломало в костях, подкатывала тошнота, голова наполнялась сырой"
248,"лист, валявшиеся за хатами копыта, кости, рога, невыделанные овчинные шкуры…"
249,"не было ни одной твердой кости, а все оно было отлито"
250,"его были выточены из белой кости, — слова его стучали, как костяные."
251,"у Калача, обхватив противника, ломая кости, сминая сердце и легкие армии"
252,"казалось, сгибала ребра, расшивала черепные кости."
253,"блиндажа не торопясь обгладывал лошадиную кость, похожую на невероятную циклопическую губную"
254,"морозы, по-прежнему усталость ломала солдатские кости, по-прежнему страшна была смерть."
255,с белым черепом и скрещенными костями.
256,с белым черепом и скрещенными костями развивался на мачте.
257,Юрка отбросил в темноту кость и старательно вытер травой руки
258,флаг с черепом и скрещенными костями развевался над их станом.
259,каким трепетом я рассматривал черепную кость питекантропа.
260,спросил капитан и потрогал было кость пальцами.
261,"берега обугленную от времени берцовую кость, коренной зуб и обломок затылочной"
262,"состоящий из одного зуба, берцовой кости и обломка черепа, входит в"
263,"Выкапываются какие-то сомнительные собачьи кости, но отец отрицательно качает головой."
264,"краев заполнен кремнеземом, сросшимся с костью!"
265,"которую художники проделывали не только костью и резцом, но и какими-то"
266,"И от земли, усеянной костями"
267,"изменения, которые претерпевает полая человеческая кость под давлением огромных земляных масс?"
268,"приходится повторять великому антропологу, что кость не камень, не бронза, даже"
269,"тут «разрозненных костных фрагментов», обломков костей, что ли?"
270,"не обнаружено, так, есть какие-то кости, но совсем не на той"
271,"Курцер приехал, привез ему кости, и тут оказалось…"
272,выбросил Курцера вместе с его костями.
273,"тросточка с ручкой из слоновой кости, и, войдя, он сейчас же"
274,"Из мяса, нервов и костей? — серьезно спросил Войцик."
275,"на двух языках сразу, летящие кости, бесноватая фигурка профессора — все это"
276,"потянулся, что у него даже кости хрустнули."
277,Он все больше по костям да по камушкам.
278,"тридцать девятым годом, — черепа да кости."
279,"конечно, а ее череп и кости."
280,"Ах, кости! — разочарованно протянул Гарднер."
281,"Ну, кости меня интересуют только служебно."
282,И вот по костям он эту красавицу и составил?
283,"Гарднера, — у нее были красные кости."
284,"Мягкие части разложились, ну а кости впитали этот порошок и окрасились"
285,"и эту обуглившуюся, покоробленную временем кость."
286,"случиться такое, что потом и костей не соберешь."
287,"я отбросил кочерыжку, как обглоданную кость, и, ухватившись за короткий ежик"
288,"казалось, проникала сквозь тело к костям и студила их."
289,"так обуглено, что местами виднелись кости."
290,"вкуснее нет в мире, — мозговая кость."
291,"поволок из огнедышащего озера — ее, кость, треснувшую вдоль."
292,под ноги выбеленные временем человеческие кости или мелкие кремни.
293,вмиг обглодал куриную ногу и кость засунул в боковой карманчик трико
294,не прикажете ли партию в кости?
295,этого гражданина торчала обглоданная куриная кость.
296,"на каменных скамьях, играя в кости."
297,Обгоревшие кости второго были обнаружены в квартире
298,"сменять на золото и слоновую кость, а в другой — громадный испанский"
299,"была быть гладкой, как полированная кость."
300,"предположения, как другие играют в кости»."
301,"его нашел, лежало много человеческих костей и кости одного верблюда."
302,лежало много человеческих костей и кости одного верблюда.
303,"мир), женского (напр., мать, стена, кость) и среднего рода (напр., дитя"
304,"пр. — мужеского рода, стена, кровать, кость, вода, нога, весна — женского рода"
305,"вода, земля и по типу кость, плеть; слова мужеского рода по"
306,"отлично от таких слов, как кость, плеть, по образцу которых они"
307,и мировой вихрь из их костей и праха родит новых обезьян
308,"сеет и сеет, и стынут кости."
309,все стороны торчали белые раздавленные кости.
310,"в голени так, что обе кости концами выскочили наружу, пробив кожу."
311,мелкозубой ослепительной пилой пилить круглую кость.
312,И кость отпала.
313,"Лохмы, мясо, кости!"
314,"В кости играют, кофе пьют."
315,Из корсета кости торчат?
316,"мышкой — ручка зонтика из слоновой кости толщиной в полено, маленькая шляпа"
317,Настоящая слоновая кость?
318,"И мы стали «мертвыми костями, на которые идет снег»."
319,"что я легкий стал, одни кости."
320,"Да, ведь, и кости весят что-нибудь…»"
321,"Франгейт фигуры, вызывающие представление о костях, — нескладные старики, в очках, с"
322,"Бочки среди костей, с лопнувшими в земле обручами"
323,"Он взял много слоновой кости по ту сторону реки, миль"
324,"хлясь вверх по руке, по кости самой."
325,"чавкают, уминают; похрустывают на зубах кости."
326,"его крупные зубы, старой слоновой костью — крепкая лысая голова."
327,"похмелья, — целую ночь играл в кости в траттории, — и все хлестал"
328,идолов из дерева и слоновой кости.
329,"шкур, кофе, золота и слоновой кости."
330,он — русский человек до мозга костей — не был способен к размеренному
331,"обратилась в «поле, усеянное мертвыми костями»."
332,были заменены таблетками из слоновой кости.
333,терпеливо просиживали над кусочком слоновой кости величиной с орех.
334,"Молодая кость на зубах хрустит, а старая"
335,долбит бледному ребенку его испорченные кости.
336,"после того как он сломал кости старухе Джонстон, собиравшей в лесу"
337,от нестерпимой боли в раздробленных костях.
338,"она рванулась из капкана, — хрустнули кости, на воде ручья засверкали тонкие"
339,"Постояла, поплакала над костями сестер да с отчаяния туркнулась"
340,"Марья по терему, плачет над костями сестер, заглядывает то в одну"
341,"рот живой воды, вспрыснула сестрины кости."
342,Вспрыснула Марья сестрины кости.
343,"двери, а дверь из человечьих костей и скрипит, и светится."
344,"и растворилась дверь из человечьих костей, — задрожали у Зайки поджилки, — и"
345,будто у них совсем нет костей — и в узенькую щель едва
346,"и давал щупать неправильно сросшиеся кости, а Хижняков целовал его и"
347,"кухарка даст ей помоев и костей, уверенно и спокойно ложилась на"
348,"одежу, потом в мускулы, в кости, до мозга костей, как говорится"
349,"мускулы, в кости, до мозга костей, как говорится, — и говорится недаром…"
350,"стучали, озноб чувствовался даже в костях."
351,"1/ 2 фунта телятины без костей, мелко изрубить, смешать с вымоченною"
352,смешать с вымоченною очищенною от костей и мелко изрубленною шотландскою или
353,1/ 4 фунта мозгов из костей.
354,"Снять всю мякоть с костей, разрезать ее на мелкие кусочки."
355,Кости положить в 5 стаканов обыкновенного
356,"Когда это мясо при костях сварится, снять его, изрубить и"
357,"его из говяжьих обрезков и костей, оставшихся от жаркого, из обрезков"
358,"от жаркого, из обрезков и костей говядины, индеек, куриц и пр"
359,"бульон, чтобы не попались осколки костей; но из булдышек бульон бывает"
360,"бульон из курицы, но только кости прибавляются к оттяжке не сырыми"
361,"дичи, то оставшиеся от них кости надо истолочь, поджарить в масле"
362,Также можно оставлять кости изжаренной уже курицы или дичи
363,"В большом хозяйстве сберегают воловьи кости, оставшиеся от разварной говядины."
364,Из пуда накопившихся костей вываривают 1 1/ 2 фунта
365,"г) а остальные 5 ф. костей, жил и мелких кусочков употребить"
366,"фаршироваться, то надо выделить все кости, за исключением головы и лапок"
367,холодную воду вместе с вынутыми костями; чтобы не отбивать нежного вкуса
368,"изжарится, прорезать ножом спинку до кости, от чего кожица останется сухонькою."
369,"вымыть его, разрезать, вынуть все кости осторожно, чтобы не прорезать кожицу."
370,"положить туда же все вынутые кости, варить часа 2, как сказ"
371,"копченый окорок, надо воткнуть под кость нож или шпиговку."
372,"сделать ножом большое отверстие между костями и мясом, нафаршировать следующим образом"
373,"срезано, тогда кожу и оставшиеся кости изрубить на несколько частей и"
374,Кость украшена кокардой из вырезанной бумаги.
375,"углу было распятие из слоновой кости; от их постелей, широких, прохладных"
376,"Помни, что он рожден от кости Исэк-Кырган (вечерняя зарница), — наставительно говорил"
377,"страшная вьюга, я продрог до костей."
378,и бока представляли почти обнаженные кости.
379,"ноют — чуют, видно, ненастье старые кости."
380,"в самом нутре, и в костях тоже; не дает спать как"
381,"невиданное: золото, серебро, хрустали восточные, кость слоновая и мамонтовая."
382,"серебряная, а четвертая стена из кости слоновыя и мамонтовыя, самоцветными яхонтами"
383,"глушь, сложить там свои старые кости?"
384,"и что пора дать покой костям Василия Кириловича, и вживе не"
385,жадно вырывают из рук поданную кость.
386,"знают, жив ли я, или кости мои давно лежат в сырой"
387,"знал, жива ли она, или кости ее лежат уже в сырой"
388,"жилье недалеко, не то и кости могли бы здесь оставить."
389,князя с твердым намерением лечь костьми или добиться аудиенции у Анеты.
390,"вижу удовольствия в больших обглоданных костях, которые жрет на кухне наш"
391,"Кости хорошо только из дичи, и"
392,"меня в горле, как рыбьи кости, и румянец на лице и"
393,"ему деревянную ложку, оправленную слоновую костью, ножик и вилку с зелеными"
394,"постелю, потому что с одними костями не надеялся иметь ни дела"
395,"на золотом подножии из слоновой кости истукан Чернобога, который почитался властителем"
396,"волевой подбородок»), рельефно выступающие скуловые кости."
397,"цилиндрики из металла или слоновой кости (акванга), вставленные в нижнюю губу"
398,"ноги деревянные колодки, деформировавшие растущие кости стоп (фото 11.11)."
399,"отверстий различными вставками из дерева, кости, металла, перьев."
400,"работы с металлами, деревом, камнем, костью и рогом."
401,и Олега — и крестить их кости.
402,"Это не только улучшает положение костей стопы, но и костей голеностопного"
403,"положение костей стопы, но и костей голеностопного, коленного и тазобедренного суставов."
404,"потенциальных случаях сотрясения мозга, переломов костей или травм позвоночника."
405,этого послужили результаты исследования окаменевших костей таза рудапитека — ископаемой человекообразной обезьяны
