,0
49,"неживая, мертвенно-сизая, серебристо-зеленая, с обвалившейся корой, и кора тоже лупилась, коробилась"
50,"серебристо-зеленая, с обвалившейся корой, и кора тоже лупилась, коробилась и просто"
51,"у нее были шершавые, как кора, но в некоторые дни она"
52,Листья этих веток и кору попугайчики охотно поедают.
53,Почки и кора этих веточек содержат в себе
54,"С. Д. Каминского «Динамическое нарушение коры головного мозга», М., 1948, стр"
55,средствами сейчас давят тебе на кору и подкорку?
56,"ствол и, обрывая когтями кусочки коры, убежал вверх по стволу, в"
57,"сверху посыпалась какая-то шелуха, кусочки коры — летяга спускался вниз."
58,"время войны, в голодуху, когда кору ели."
59,три миллиарда лет существования земной коры.
60,Пила брызнула коричневым порошком коры.
61,то уж берёсту или сосновую кору найду я и в тайге.
62,"Новоград-Волынска и Ченстохова, где ели кору с деревьев, траву и умерших"
63,"деревья меняют не листья, а кору — все шиворот-навыворот, страна наоборот, как"
64,"умеют
. 	Деревья сами лезут из коры
, 	Там кролики страшней, чем наводненье"
65,"Дьюрак напоминали рисунки аборигенов, красноватую кору эвкалиптов, и от этого достоверность"
66,"Человеческие фигурки, вырезанные из коры, расписные бумеранги, щиты, копьеметалки, корзины"
67,"Висели картины, сделанные на коричневой коре эвкалипта."
68,И кора на нем на солнце блестела
69,"поморщится, кожа на лице — как кора дубовая."
70,"ветки, обдирал иглы вместе с корой."
71,"ветки на куски, не обдирая коры, и заталкивал добычу в мешок."
72,"беловатых отростков, покрытых коричневой теплой корой."
73,"пилили дрова, — бревно было изрезано, кора сколота."
74,"Беличьи когти зашуршали по коре дерева, синие тела зверьков метнулись"
75,Крошки коры перестали сыпаться на снег.
76,"брат, знаю: каждый корешок, и кору, и цветочки, и каждую траву"
77,"И вдруг, сдирая с коры своего мозга разъедавшую его слабость"
78,"бумаги, почувствовал чуть горьковатый запах коры и земли, а над всем"
79,разные стороны корнями и содранной корой.
80,ноги и рассеянно постучал по коре.
81,"большого дерева с нежной, блестящей корой."
82,"всеми шестью лапами в шероховатую кору сирени, но Зинке Фокиной было"
83,"засветилось, и все деревья запахли корой своей и почками."
84,"опирался на суковатую, очищенную от коры палку, заменявшую ему костыль."
85,Из кедровой коры смастерил он лодочку с парусом
86,"из влажной, как будто отпотевшей коры новыми узкими и яркими листьями."
87,"Прут был неочищенная от коры удочка, которой она с ним"
88,"всякое дерево, и мох на коре, и мочажины, и камни — все"
89,"стал, отощали вконец и только кору осиновую жевали."
90,"делами людей, то сквозь жесткую кору грехов и заблуждений мы различим"
91,"сударь, не выбиться из этой коры!"
92,"поток, то скрываясь под ледяной корою, то с пеною прыгая по"
93,"пихта, точная ель, иглою мягче, кора похожа на осиновую; изб из"
94,серого вещества толще в теменной коре у женщин по сравнению с
95,рецепторов допамина в эстрастриатуме (область коры головного мозга).
96,"полушарий), и мозолистое тело, связывающее кору правого и левого полушарий, у"
97,"и извилины неокортекса млекопитающих (новой коры, основной части коры больших полушарий"
98,"млекопитающих (новой коры, основной части коры больших полушарий) сформировались из специализированных"
99,"областях, на голых скалах, на коре деревьев, в высокогорьях."
100,"к деструкции нейронов в сенсомоторной коре, к диффузному и очаговому клеточному"
101,диффузному и очаговому клеточному опустошению коры.
102,1/3 количества нейронов в сенсомоторной коре может отразиться на морфофункциональном состоянии
103,"с водой, мелкие легкие камешки, кора дерева, зернышки, крошки."
104,"не только на естественных — скалах, коре деревьев и почве, но и"
105,"плотью, оборачивающейся в свою очередь корой дерева, но в нем также"
106,правой руки в моторной области коры левого полушария происходит уменьшение так
107,смог воспроизвести часть зрительного кортекса коры крысы.
108,"же, как работает наша зрительная кора, — но что там конкретно происходит"
109,которое они высасывают прямо с коры.
110,"иногда лень спускаться вниз по коре, переставляя ножки."
111,"О том, что большие полушария коры головного мозга функционально не идентичны"
112,"тело — образование, расположенное непосредственно под корой головного мозга, как раз по"
113,"путей, проецирующееся в противоположную область коры), сразу же становится достоянием правого"
114,"электросудорожной терапией, сопровождается временным угнетением коры больших полушарий."
115,"ветвями, связывали толстой бечевкой из коры."
116,которые регулярно вырываются из-под ледяной коры спутника через трещины.
117,Колончатая организация коры головного мозга.
118,Колонки зрительной коры.
119,Роль коры и глубоких структур головного мозга
120,"сейсмических колебаний, как и земная кора."
121,"что человек задействует большую часть коры головного мозга, даже когда спит."
122,"камнях, мифических животных в завитках коры или некие фатальные знамения в"
123,в сетчатке глаза и в коре головного мозга у человека первым
124,"на кедр, только покраснее, а кора гладкая."
125,эти изменения в колебаниях земной коры.
126,Но сошкуренная древесной корой рука не шибко болела.
127,"бегал по шелестящему, в отрепьях коры, стволу сосенки."
128,"над тобою живым и высоким, 
 Корой обрастать и ветвями звенеть!"
129,Основная масса — кора дуба.
130,и сдабриваешь все этой березовой корой.
131,шляпка в шершавой и грубой коре.
132,горсть сухой травы с перетертой корой.
133,Он зачерпнул горсть перетертой коры и громко захрумкал.
134,Есь достал горсть коры.
135,как старичок ласково трогает грубую кору высоких деревьев.
136,Такая чешуйчатая кора.
137,"теряет гелий, образующийся в земной коре во время процессов распада радиоактивных"
138,"мы можем найти в земной коре, гелий на Земле появился много"
139,"элементы образовались до формирования земной коры, их ядра не стабильны, и"
140,гелий непрерывно образуется в земной коре с момента образования нашей планеты.
141,"гелия просачивается через поры земной коры в атмосферу, медленно покидая ее"
142,В земной коре этот элемент был обнаружен в
143,форм существования бериллия в земной коре являются минералы берилл и изумруд
144,"18 на разных участках земной коры различается, и современные методы анализа"
145,В земной коре бериллий представлен только одним стабильным
146,которого алмазы формируются в земной коре — первая технология получения искусственных алмазов
147,большие запасы нефти в земной коре.
148,"химических элементов, потому в земной коре он присутствует в виде оксида"
149,"различных растений, в результате из коры редкой породы дерева — тихоокеанского тиса"
150,самых распространенных элементов в земной коре (занимает четвертое место после кислорода
151,позволило ему сохраниться в земной коре.
152,Ниже приведено содержание в земной коре некоторых химических элементов (в процентах
153,"жалуется на «существователей», которые «задавили корою своей земности, ничтожного самодоволия высокое"
154,Скобелем от коры зачистил.
155,ударной волной с него содрало кору.
156,"подопытному электрически простимулировать переднюю часть коры, он не испытает никаких субъективных"
157,"затылочные и височные части задней коры), то счастливчика ждет сенсорный приход"
158,Именно на заднюю кору мозга ученые и возлагают надежды
159,"ученым непонятно, чем же задняя кора так сильно отличается от передней."
160,маленькой пластинке серого вещества под корой полушарий.
161,мозг пассивно обрабатывал его частью коры вокруг первичной слуховой области.
162,"шишка, не то ошметок древесной коры — попалось и вновь пропало где-то"
163,Припал щекой к шершавой коре в известковых комках и терся
164,"стволы пахнут весенней влагой, морщинистая кора кое-где прострелена зелеными листьями."
165,инеем стены в лохмотьях несоструганной коры; сбитый из толстых досок ящик
166,"веток, а то и поцарапать кору."
167,сверху принесенной из леса березовой корой; укутали яблони снегом.
168,"И замечать оттенки древесной коры: рыжей на сосновых стволах, серой"
169,"делают из чего-то натурального вроде коры дуба, болотной тины или перхоти"
170,"Кора мозга их как-то обрабатывает, обобщает"
171,В итоге до коры головного мозга доберётся набор сигналов
172,"Континент — это крупный массив земной коры, большая часть которого не покрыта"
173,"огромный регион, покрытый именно континентальной корой."
174,"Напомню, земная кора бывает двух типов — океаническая и"
175,А континентальная кора сложена главным образом из гранита
176,"Во-первых, мощная кора континентального типа в «Зеландии» отсутствует."
177,гвоздях или питаться только дубовой корой — пожалуйста.
178,"кремнезём (SiO2), которого много в коре и мантии."
179,"Префронтальная кора, отвечающая за контроль и рациональное"
180,"благодаря этому будет укрепляться префронтальная кора, и человек станет менее уязвимым"
181,"означал, что у пациентов погибла кора головного мозга, одно из названий"
182,"пациентам, однако восстановить полноценное функционирование коры головного мозга у некоторых из"
183,способом является модуляция возбудимости нейронов коры с помощью слабого (<2 мА
184,стимуляции является воздействие на нейроны коры головного мозга серией магнитных импульсов
185,степень функциональной связности различных зон коры между собой.
186,"ТМС стимулируется точно определенная зона коры, а ответ нейронов на стимул"
187,"стимул, который распространяется по всей коре, регистрируется с помощью ЭЭГ высокой"
188,"ответ распространяется по различным областям коры), то нарушения сознания характеризуются утратой"
189,интегрированности (возбуждение не распространяется по коре).
190,"Это область коры головного мозга, которая не особенно"
191,"жалобой гольда на обрывке березовой коры, захотелось Неретину, чтобы одним из"
192,"установление синаптических связей между участками коры головного мозга, ответственными за слух"
193,В итоге при возбуждении коры звуком колокольчика у собаки начиналось
194,"активности; тонкая, только-только образовавшаяся кора не могла выдерживать напора кипящей"
195,представители обеих фракций предпочитали обдирать кору со ствола и скармливать ее
196,с письмом — повреждение какого-то отдела коры головного мозга блокирует возможность генерировать
197,"умирающие», то снова активизирующиеся участки коры обеспечивают быструю смену реакций — от"
198,описавшего множество уникальных случаев поражения коры головного мозга.
199,"может отражать прогрессивную перестройку новой коры головного мозга, в особенности лобной"
200,"некоторые сезоны седибы, похоже, глодали кору и древесину; такого не замечено"
201,"Может, раскрашивали куски коры, может — друг друга, а то"
202,"которой можно покрасить стену, кусок коры, шкуру или друг друга (Villa"
203,"Кирилл Еськов, на формирование новой коры головного мозга великое влияние оказывает"
204,автономная работа контролируется соответствующими центрами коры головного мозга.
205,"временем до тех пор, пока кора головного мозга не сможет сама"
206,"в почве, в лужах, на коре деревьев — вполне."
207,"сваливались кусками, будто старая древесная кора, уже вторые ботинки, никогда не"
208,добывал себе немолодой мужик с корою в бороде и смолой на
209,спутника заснять все содержимое земной коры.
210,росла приметная рыжая береза с корой как промасленная бумага: под ней
211,при анализе химического состава земной коры6.
212,"например, половые гормоны и гормоны коры надпочечников."
213,Ее кора (вместе с верхней мантией) расколота
214,"кирпично-красный или желтый налет на коре деревьев (зеленый цвет, присущий большинству"
215,"Например, древнейшая известная кора выветривания (понятие, частным случаем которого"
216,"глины может быть только биогенная кора выветривания, то есть почва 26."
217,Расколотая во многих местах земная кора извергла буквально море расплавленного базальта
218,"народное средство в виде ивовой коры, увы, оказалось бессильно против инфекции"
219,"потрогать ни бумагу из кедровой коры, ни стальной переплет."
220,"к чисто материальным процессам в коре головного мозга, о чем сейчас"
221,это просто электрохимические процессы в коре вашего головного мозга и не
222,это просто электрохимические процессы в коре головного мозга.
223,"пещеру, уходящую в глубь земной коры, смог пролезть телеуправляемый робот и"
224,перетертую исподнюю часть молодой березовой коры.
225,"меня образовался, отвердел и покрылся корой внутри моей головы, — был бы"
226,токов примесных центров нервных клеток коры головного мозга под воздействием внешнего
227,и мозг (в том числе кора) представляет собой не более чем
228,"пересекает крупный разлом в земной коре или, как говорят геологи, сброс"
229,морской воды и минералов земной коры.
230,"от истории минеральных слоев Земли (коры, мантии, ядра) и без учета"
231,"мантия, покрытая сверху твердой силикатной корой с плотностью около 3 г/"
232,"всплывали наверх, образуя мантию и кору."
233,еще и движение плит земной коры относительно друг друга.
234,из жидкой воды и ледяную кору.
235,воды и движение ледяных блоков коры.
236,"легче поддаются деформации, чем земная кора, и изменения их уровня под"
237,и трение в деформируемой земной коре приводят к выделению тепла.
238,направляет дрейф материковых плит земной коры — их движение заметно несимметрично в
239,нептуния были обнаружены в земной коре.
240,"вынося концентрические кольца лет за кору
и возвращая обратно
словно дитя"
241,"Достаточно воткнуть электрод в зону коры, которая в целом отвечает за"
242,"сигнал, но и в сенсорную кору, которая связана с ощущениями."
243,"успешный поворот, то в сенсорную кору его мозга поступает сигнал с"
244,"появляются в результате движения земной коры: медленно создаются, медленно разрушаются…"
245,"Почему у деревьев кора коричневая, а у берез белая?"
246,"Действительно, белую кору природа не дала ни одному"
247,Позднее бамбук заменили корой тутовника с добавками древесной золы.
248,"аномалии: застывшая магма тяжелее лунной коры, и, смешавшись с ней, она"
249,металл из встречающихся в земной коре.
250,"дверей: величавая окаменелость в грубой коре шелушащейся краски, с замазанными стеклами"
251,"амурский бархат, покрытый серебристой пробковой корой."
252,"воды и верхний слой земной коры, не умея докопаться до «подкорки»)."
253,"попадает наверх, в пределы земной коры, с алмазоносными породами — кимберлитами, названными"
254,"знал, у каких деревьев съедобная кора."
255,"Кварц — главный камень земной коры, на которой мы живём."
256,свободное содержание» кварца в земной коре (то есть именно в виде
257,"Другой плебей земной коры — полевой шпат, целая группа полевых"
258,"грибок, мыслящая плесень на земной коре."
259,"видим лишь застывшую корку «земной коры», кое-где прорывающуюся вулканами и гейзерами"
260,"первыми, произведя жестокое вскрытие земной коры, изрезав и изнасиловав её."
261,"березовой опушки, где обычно лакомился корой старый лось."
262,"от земляной ямы, выложенной древесной корой, до железного куба на сорок"
263,"капли золотистой смолы на медной коре, волосы, пахнущие шашлычным дымом, белый"
264,обвислыми ветками и черно-белой истрепанной корой.
265,У дуба тёплая кора.
266,Кора тёплая и сухая.
267,"не уступавшие тополю, с темноватой корой, пышными кронами и листьями, похожими"
268,"лауреат, заключил со своей возлюбленной Корой такой же «Брачный пакт о"
269,"за границу Крайней поляны: объели кору с деревьев, перемололи желуди с"
270,"толстую, причудливо изрисованную черными буграми кору, затем вонзается в нежно-розовую древесную"
271,"шатались, как шурале, по лесу, кору зубами с деревьев рвали."
272,очищал от веток и снимал кору.
273,"повалить, очистить от веток и коры, распилить на чурбаны, на волокуше"
274,"хворост — в корзины, бересту, сосновую кору, шишки и хвою — в отдельные"
275,"воздухом, запахом трав, рыбы, древесной коры, еловых иголок, дыма, раскаленных камней"
276,"Иконникова, предварительно счищая мягкую березовую кору (ее толкли, вываривали и пили)."
277,"пробирается под жесткой, как древесная кора, шкурой лося, нещадно исполосованной ножом"
278,"со щетками веток, со слоистой корой, с игольчатыми солнечными лучами, пропадает."
279,Маленький кролик начал грызть кору ближайшего куста.
280,"в каждом разрезе неподатливой земной коры, в каждом закоснелом отложении породы"
281,от времени и зимних дождей коре.
282,"Ейбогин погладил пепельно-серую, глубоко растресканную кору ствола одного из них."
283,"Кстати, кора ветлы тоже шла в дело"
284,к прохладной и влажной шероховатой коре.
285,Почувствуй структуру донной коры.
286,дерева и даже не из коры.
287,"мнению, объясняется «громоподобный» успех книги Коры Ландау-Дробанцевой «Академик Ландау."
288,с дикой жадностью по высохшей коре и хвое.
289,"например, в результате сдвигов земной коры или колебаний уровня моря."
290,"ее коллег, только в земной коре, то есть в пределах десятка"
291,"дне, пробило дыру в земной коре, так что струя земной боли"
292,А движение земной коры?
293,"и геоботаников из Института земной коры СО РАН, Института геохимии им"
294,происходящие в верхней части земной коры или даже в мантии.
295,"многолетним промерзанием верхней части земной коры, формированием подземных ледников, внезапной кристаллизацией"
296,также для верхней части земной коры.
297,"Верхняя часть земной коры разбита сетью многочисленных трещин, разломов"
298,помощью транскраниальной магнитной стимуляции зрительной коры мозга.
299,"в документальных фильмах — о земной коре и магме, метаморфозе бабочек, африканских"
300,"проступающих сквозь разломы в земной коре, — «…мирнова — дура…» или «Поля — жо"
301,"Пахнет увядающей листвой, травой, корой деревьев и землёй, влажной от"
302,"в результате хозяйственной деятельности человека — кора и опилки лиственницы, березы, кедра"
303,"не «тонкую корочку», а жесткую кору толщиной около 40 километров!"
304,Они держатся почитай на одной коре.
305,"твердой мантии, слою, подстилающему земную кору, и назвал дрейф континентов «физически"
306,"Подчиняясь своей натуре, 
 Рассекая кору сурово, 
 Под Землею бушуют бури"
307,"и «захлопывают» пространство с океанической корой, занятое этим морем."
308,наружу сквозь трещины в земной коре.
309,"сейсмическая активность, деформации поверхности земной коры, температура, состав и расход газов."
310,изостазии (состояния равновесия масс земной коры и мантии).
311,"когда тяжесть ледника исчезла, континентальная кора под бывшим ледником поднимается."
312,Антарктиды наглухо приморожен к земной коре.
313,Памира и Тянь-Шаня движения земной коры происходят непрерывно.
314,"Перед взрывом земная кора резко поднимется, облако пепла окажется"
315,"Коми, полезных ископаемых, строения земной коры и эволюции органического мира, литологии"
316,"всего в таких местах, как кора полушарий головного мозга, сетчатка глаза"
317,"рельеф территорий и наращивающих земную кору, общепризнано, что выбрасываемые в воздух"
318,"вещества в верхние горизонты земной коры, при спаде давления и температуры"
319,биологических процессах в разрезах земной коры и почвах.
320,"соединенных вверху пучков жердей, покрытых корой и дерном), а позже, с"
321,"Массивный, с толстой коричневой корой в трещинах-морщинах."
322,"продолжая прижимать ладони к шершавой коре, разумеется, ничего не услышал, но"
323,нашей планете сформировалась первая континентальная кора?
324,"ядра, мантии и первой континентальной коры."
325,формировались первые сохранившиеся породы континентальной коры — гранито-зеленокаменные ассоциации.
326,концентрируются в мантии и земной коре.
327,"а следовательно, и гаденской земной коры происходил 4,25 млрд лет."
328,"назад, с максимальным возрастом формирования коры 4,25 млрд лет."
329,"расплавов, типичных для земной континентальной коры."
330,во время формирования первой континентальной коры.
331,"послуживших источником магмы для формирования коры в гаденскую эпоху, происходило в"
332,"Во-первых, гаденская кора была широко распространена, охватывала большие"
333,"соответствии с планами Бонна… пробковую кору, оливковое масло, фрукты… пучок ионов"
334,течением атмосферных процессов и стабильной корой планеты не обнаружилось.
335,"северной стороны имеют более грубую кору, гуще поросшую мхом и лишайником"
336,И кору на деревьях мы тоже не
337,"Наплывали плиты земной коры друг на друга, образуя горы."
338,"род колючего кустарника с горькой корой»  [15, 141]."
339,"сделанный из большого куска сухой коры, лианой прикрученного к воткнутой в"
340,На коре белой глиной было выведено:
341,"дохлая ворона — с табличкой из коры, привязанной к лапе."
342,Надпись на коре не обманывала.
343,лежал придавленный двумя камнями кусок коры с надписью:
344,В центре поляны из кусков коры и веток было собрано что-то
345,"еще одно послание на куске коры, прижатом к земле двумя камнями."
346,"предсмертной тоски рифмованные надписи на коре казались уже не шуткой, а"
347,"Подойдя к сделанному из коры лектерну, Спе-ро остановилась и оглядела"
348,"знала, кто написал записки на коре."
349,"растяжения и продольного движения земной коры, в районе Белого моря произошел"
350,назад) по линиям разломов земной коры появилась сеть культовых объектов.
351,только в глубинных частях земной коры и литосферы Беломорья в целом
352,островов существует поднятие подошвы земной коры и выступ мантии.
353,другой [8] — это поднятие блока коры по глубинному разлому в зоне
354,поднятие которого сопровождается разломами земной коры.
355,Мощность земной коры под архипелагом оценивается от 30
356,"имеющихся данных о мощности земной коры и литосферы, тепловых свойств горных"
357,потока по разломам в земной коре.
358,С при мощности земной коры 30 км и 600-6800
359,подъеме в верхние горизонты земной коры и образуют различные минералы — богатейшие
360,"улыбка осеняет его старое, как кора, лицо."
361,Ученые иркутского Института земной коры (ИЗК) СО РАН открыли новый
